,Country,RealName,Link,Code
61,Equatorial Guinea,Equatorial Guinea,http://berkeleyearth.lbl.gov/regions/equatorial-guinea,GNQ
62,Eritrea,Eritrea,http://berkeleyearth.lbl.gov/regions/eritrea,ERI
63,Estonia,Estonia,http://berkeleyearth.lbl.gov/regions/estonia,EST
64,Ethiopia,Ethiopia,http://berkeleyearth.lbl.gov/regions/ethiopia,ETH
65,Falkland Islands (Islas Malvinas),Falkland Islands (Malvinas),http://berkeleyearth.lbl.gov/regions/falkland-islands-(islas-malvinas),FLK
66,Faroe Islands,Faroe Islands,http://berkeleyearth.lbl.gov/regions/faroe-islands,FRO
67,Federated States of Micronesia,Micronesia (Federated States of),http://berkeleyearth.lbl.gov/regions/federated-states-of-micronesia,FSM
68,Fiji,Fiji,http://berkeleyearth.lbl.gov/regions/fiji,FJI
69,Finland,Finland,http://berkeleyearth.lbl.gov/regions/finland,FIN
70,France,France,http://berkeleyearth.lbl.gov/regions/france-(europe),FRA
71,French Guiana,French Guiana,http://berkeleyearth.lbl.gov/regions/french-guiana,GUF
72,French Polynesia,French Polynesia,http://berkeleyearth.lbl.gov/regions/french-polynesia,PYF
73,French Southern and Antarctic Lands,French Southern Territories,http://berkeleyearth.lbl.gov/regions/french-southern-and-antarctic-lands,ATF
74,Gabon,Gabon,http://berkeleyearth.lbl.gov/regions/gabon,GAB
75,Gambia,Gambia,http://berkeleyearth.lbl.gov/regions/gambia,GMB
76,Georgia,Georgia,http://berkeleyearth.lbl.gov/regions/georgia,GEO
77,Germany,Germany,http://berkeleyearth.lbl.gov/regions/germany,DEU
78,Ghana,Ghana,http://berkeleyearth.lbl.gov/regions/ghana,GHA
79,Greece,Greece,http://berkeleyearth.lbl.gov/regions/greece,GRC
80,Greenland,Greenland,http://berkeleyearth.lbl.gov/regions/greenland,GRL
81,Grenada,Grenada,http://berkeleyearth.lbl.gov/regions/grenada,GRD
82,Guadeloupe,Guadeloupe,http://berkeleyearth.lbl.gov/regions/guadeloupe,GLP
83,Guam,Guam,http://berkeleyearth.lbl.gov/regions/guam,GUM
84,Guatemala,Guatemala,http://berkeleyearth.lbl.gov/regions/guatemala,GTM
85,Guernsey,Guernsey,http://berkeleyearth.lbl.gov/regions/guernsey,GGY
86,Guinea,Guinea,http://berkeleyearth.lbl.gov/regions/guinea,GIN
87,Guinea-Bissau,Guinea-Bissau,http://berkeleyearth.lbl.gov/regions/guinea-bissau,GNB
88,Guyana,Guyana,http://berkeleyearth.lbl.gov/regions/guyana,GUY
89,Haiti,Haiti,http://berkeleyearth.lbl.gov/regions/haiti,HTI
90,Heard Island and McDonald Islands,Heard and Mc Donald Islands,http://berkeleyearth.lbl.gov/regions/heard-island-and-mcdonald-islands,HMD
91,Honduras,Honduras,http://berkeleyearth.lbl.gov/regions/honduras,HND
92,Hong Kong,Hong Kong,http://berkeleyearth.lbl.gov/regions/hong-kong,HKG
93,Hungary,Hungary,http://berkeleyearth.lbl.gov/regions/hungary,HUN
94,Iceland,Iceland,http://berkeleyearth.lbl.gov/regions/iceland,ISL
95,India,India,http://berkeleyearth.lbl.gov/regions/india,IND
96,Indonesia,Indonesia,http://berkeleyearth.lbl.gov/regions/indonesia,IDN
97,Iran,Iran (Islamic Republic of),http://berkeleyearth.lbl.gov/regions/iran,IRN
98,Iraq,Iraq,http://berkeleyearth.lbl.gov/regions/iraq,IRQ
99,Ireland,Ireland,http://berkeleyearth.lbl.gov/regions/ireland,IRL
100,Isle of Man,Isle of Man,http://berkeleyearth.lbl.gov/regions/isle-of-man,IMN
101,Israel,Israel,http://berkeleyearth.lbl.gov/regions/israel,ISR
102,Italy,Italy,http://berkeleyearth.lbl.gov/regions/italy,ITA
103,Jamaica,Jamaica,http://berkeleyearth.lbl.gov/regions/jamaica,JAM
104,Japan,Japan,http://berkeleyearth.lbl.gov/regions/japan,JPN
105,Jersey,Jersey,http://berkeleyearth.lbl.gov/regions/jersey,JEY
106,Jordan,Jordan,http://berkeleyearth.lbl.gov/regions/jordan,JOR
